Date : 2026-03-14 02:36:56
Directory : c:\Users\leon\source\repos\CMLeonOS\CMLeonOS
Total : 238 files,  61341 codes, 4930 comments, 7294 blanks, all 73565 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        200 |     35,009 |      4,512 |      5,743 |     45,264 |
| JavaScript |         12 |     20,288 |        415 |         34 |     20,737 |
| Markdown   |          7 |      2,638 |          0 |        787 |      3,425 |
| YAML       |          1 |      2,410 |          0 |        674 |      3,084 |
| HTML       |          5 |        654 |          0 |         20 |        674 |
| XML        |          1 |        149 |          1 |         14 |        164 |
| Lua        |          4 |        100 |          1 |         15 |        116 |
| JSON       |          4 |         66 |          0 |          2 |         68 |
| PowerShell |          2 |         25 |          0 |          4 |         29 |
| Batch      |          1 |          1 |          1 |          0 |          2 |
| PostCSS    |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        238 |     61,341 |      4,930 |      7,294 |     73,565 |
| . (Files)                                                                                                          |         13 |      1,609 |        153 |        327 |      2,089 |
| Driver                                                                                                             |          1 |        319 |        460 |         37 |        816 |
| Editor                                                                                                             |          2 |      1,606 |         75 |        197 |      1,878 |
| Gui                                                                                                                |         69 |      7,860 |      1,241 |      1,665 |     10,766 |
| Gui (Files)                                                                                                        |          9 |      1,256 |        203 |        249 |      1,708 |
| Gui\Apps                                                                                                           |         25 |      2,910 |        387 |        645 |      3,942 |
| Gui\Apps (Files)                                                                                                   |         12 |      1,590 |        190 |        354 |      2,134 |
| Gui\Apps\CodeStudio                                                                                                |          5 |        900 |         76 |        178 |      1,154 |
| Gui\Apps\Demos                                                                                                     |          2 |        156 |         30 |         44 |        230 |
| Gui\Apps\Paint                                                                                                     |          6 |        264 |         91 |         69 |        424 |
| Gui\Apps\Paint (Files)                                                                                             |          4 |        209 |         61 |         59 |        329 |
| Gui\Apps\Paint\Tools                                                                                               |          2 |         55 |         30 |         10 |         95 |
| Gui\ShellComponents                                                                                                |          7 |        762 |        114 |        184 |      1,060 |
| Gui\ShellComponents (Files)                                                                                        |          3 |        508 |         47 |        121 |        676 |
| Gui\ShellComponents\Dock                                                                                           |          4 |        254 |         67 |         63 |        384 |
| Gui\SmoothMono                                                                                                     |          2 |        478 |         30 |        138 |        646 |
| Gui\Sound                                                                                                          |          2 |        103 |         31 |         20 |        154 |
| Gui\UILib                                                                                                          |         24 |      2,351 |        476 |        429 |      3,256 |
| Gui\UILib (Files)                                                                                                  |         19 |      2,211 |        316 |        400 |      2,927 |
| Gui\UILib\Animations                                                                                               |          5 |        140 |        160 |         29 |        329 |
| Interpreter                                                                                                        |         34 |     13,167 |      1,114 |      1,969 |     16,250 |
| Interpreter (Files)                                                                                                |          1 |        482 |         43 |         54 |        579 |
| Interpreter\UniLua                                                                                                 |         33 |     12,685 |      1,071 |      1,915 |     15,671 |
| Logger                                                                                                             |          4 |        186 |         60 |         38 |        284 |
| LuaApps                                                                                                            |          4 |        100 |          1 |         15 |        116 |
| Settings                                                                                                           |          1 |        307 |         15 |         31 |        353 |
| Shell                                                                                                              |         63 |      6,641 |        964 |        963 |      8,568 |
| Shell (Files)                                                                                                      |          3 |      1,959 |         64 |        307 |      2,330 |
| Shell\Commands                                                                                                     |         60 |      4,682 |        900 |        656 |      6,238 |
| Shell\Commands (Files)                                                                                             |          4 |        914 |         60 |        143 |      1,117 |
| Shell\Commands\Editor                                                                                              |          2 |         48 |         30 |          8 |         86 |
| Shell\Commands\Environment                                                                                         |          1 |        175 |         15 |         11 |        201 |
| Shell\Commands\FileSystem                                                                                          |         17 |        580 |        255 |        102 |        937 |
| Shell\Commands\Help                                                                                                |          1 |        554 |         15 |         30 |        599 |
| Shell\Commands\Info                                                                                                |          2 |         34 |         30 |          7 |         71 |
| Shell\Commands\Power                                                                                               |          2 |         26 |         30 |          6 |         62 |
| Shell\Commands\Script                                                                                              |          5 |        453 |         75 |         74 |        602 |
| Shell\Commands\System                                                                                              |          9 |        276 |        135 |         48 |        459 |
| Shell\Commands\User                                                                                                |          3 |        151 |         45 |         22 |        218 |
| Shell\Commands\Utility                                                                                             |         14 |      1,471 |        210 |        205 |      1,886 |
| System                                                                                                             |          6 |      1,616 |        126 |        241 |      1,983 |
| UI                                                                                                                 |          4 |      1,621 |         70 |        272 |      1,963 |
| Utils                                                                                                              |         11 |      1,006 |        236 |        198 |      1,440 |
| docs                                                                                                               |         26 |     25,303 |        415 |      1,341 |     27,059 |
| docs\cmleonos                                                                                                      |         26 |     25,303 |        415 |      1,341 |     27,059 |
| docs\cmleonos (Files)                                                                                              |          2 |      2,430 |          0 |        675 |      3,105 |
| docs\cmleonos\docs                                                                                                 |         24 |     22,873 |        415 |        666 |     23,954 |
| docs\cmleonos\docs (Files)                                                                                         |          4 |      1,890 |          0 |        610 |      2,500 |
| docs\cmleonos\docs\.vuepress                                                                                       |         20 |     20,983 |        415 |         56 |     21,454 |
| docs\cmleonos\docs\.vuepress (Files)                                                                               |          1 |         12 |          1 |          7 |         20 |
| docs\cmleonos\docs\.vuepress\.cache                                                                                |          7 |     19,829 |        410 |         22 |     20,261 |
| docs\cmleonos\docs\.vuepress\.cache\deps                                                                           |          7 |     19,829 |        410 |         22 |     20,261 |
| docs\cmleonos\docs\.vuepress\dist                                                                                  |         12 |      1,142 |          4 |         27 |      1,173 |
| docs\cmleonos\docs\.vuepress\dist (Files)                                                                          |          5 |        654 |          0 |         20 |        674 |
| docs\cmleonos\docs\.vuepress\dist\assets                                                                           |          7 |        488 |          4 |          7 |        499 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                           | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\BootMenu.cs                                                           | C#         |        152 |         15 |         30 |        197 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Branswe.md                                                            | Markdown   |        261 |          0 |         67 |        328 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Build.bat                                                             | Batch      |          1 |          1 |          0 |          2 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\BuildTime.ps1                                                         | PowerShell |          3 |          0 |          1 |          4 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\CMLeonOS.csproj                                                       | XML        |        149 |          1 |         14 |        164 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Driver\VMWareSVGAII.cs                                                | C#         |        319 |        460 |         37 |        816 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Editor\Editor.cs                                                      | C#         |        267 |         44 |         36 |        347 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Editor\Nano.cs                                                        | C#         |      1,339 |         31 |        161 |      1,531 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\GenerateGitCommit.ps1                                                 | PowerShell |         22 |          0 |          3 |         25 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\App.cs                                                            | C#         |         29 |         15 |          9 |         53 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\AppManager.cs                                                     | C#         |        106 |         15 |         26 |        147 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Calculator.cs                                                | C#         |        258 |         19 |         30 |        307 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Calendar.cs                                                  | C#         |         70 |         15 |         20 |        105 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Clock.cs                                                     | C#         |         95 |         19 |         25 |        139 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\CodeEditor.cs                                     | C#         |         45 |         15 |          7 |         67 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\CodeStudio.cs                                     | C#         |         36 |         16 |         12 |         64 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\Ide.cs                                            | C#         |        299 |         15 |         56 |        370 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\LuaGuiLibrary.cs                                  | C#         |        360 |         15 |         81 |        456 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\LuaSyntaxHighlighter.cs                           | C#         |        160 |         15 |         22 |        197 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\DemoLauncher.cs                                              | C#         |         70 |         15 |         18 |        103 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Demos\Mandelbrot.cs                                          | C#         |         72 |         15 |         21 |        108 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Demos\Starfield.cs                                           | C#         |         84 |         15 |         23 |        122 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Files.cs                                                     | C#         |        275 |         15 |         56 |        346 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Info.cs                                                      | C#         |         41 |         15 |         13 |         69 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Logs.cs                                                      | C#         |        112 |         15 |         28 |        155 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\MemoryStatistics.cs                                          | C#         |         57 |         15 |         16 |         88 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Notepad.cs                                                   | C#         |        171 |         15 |         43 |        229 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\ColourPicker.cs                                        | C#         |         74 |         16 |         16 |        106 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Paint.cs                                               | C#         |         70 |         15 |         20 |        105 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Tool.cs                                                | C#         |         19 |         15 |          7 |         41 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\ToolBox.cs                                             | C#         |         46 |         15 |         16 |         77 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Tools\CircleBrush.cs                                   | C#         |         17 |         15 |          4 |         36 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Tools\Pencil.cs                                        | C#         |         38 |         15 |          6 |         59 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Settings.cs                                                  | C#         |        244 |         17 |         55 |        316 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Stopwatch.cs                                                 | C#         |        130 |         15 |         33 |        178 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Tasks.cs                                                     | C#         |         67 |         15 |         17 |         99 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Asc16.cs                                                          | C#         |         34 |         16 |          5 |         55 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\BitmapExtensions.cs                                               | C#         |         40 |         15 |         11 |         66 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\CursorType.cs                                                     | C#         |          8 |         15 |          2 |         25 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Gui.cs                                                            | C#         |         61 |         16 |         21 |         98 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\SettingsService.cs                                                | C#         |        171 |         25 |         27 |        223 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\AppDockIcon.cs                               | C#         |         19 |         15 |          5 |         39 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\BaseDockIcon.cs                              | C#         |         65 |         20 |         14 |         99 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\Dock.cs                                      | C#         |        151 |         17 |         39 |        207 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\StartMenuDockIcon.cs                         | C#         |         19 |         15 |          5 |         39 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Lock.cs                                           | C#         |        161 |         15 |         43 |        219 |
